"Node 1","Node 2","OHL Length (km)","Cable Length (km)","Circuit Type","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Winter Rating (MVA)","Autumn Rating (MVA)","Summer Rating (MVA)","Spring Rating (MVA)"
BRWA2B,HINP21,18.273,0.68,COMPOSITE,0.083,0.763,12.466,240,240,240,240
BURW40,PELH40,42.717,0,OHL,0.037,0.701,29.552,2780,2570,2220,2570
BURW40,PELH40,42.504,0,OHL,0.037,0.697,29.404,3030,2910,2240,2510
BURW40,WALP40,51.146,0,OHL,0.044,0.839,35.383,2780,2570,2220,2570
BURW40,WALP40,51.493,0,OHL,0.045,0.844,35.623,3100,2930,2770,2930
BUSH20,DRAK21,39.964,0,OHL,0.148,1.571,11.566,955,885,760,885
BUSH20,PENN20,21.821,0.127,COMPOSITE,0.081,0.861,7.695,1040,760,760,1040
BUSH20,WIEN2B,5.201,4.318,COMPOSITE,0.031,0.332,48.381,760,680,680,760
BUST21,DRAK22,34.626,0,OHL,0.078,1.215,11.091,1200,1120,1020,1120
BUST21,NECH20,1.741,7.673,COMPOSITE,0.021,0.285,83.889,725,695,610,695
BUST22,DRAK21,34.582,0,OHL,0.078,1.214,11.077,1200,1120,1020,1120
BUST22,NECH20,1.741,7.726,COMPOSITE,0.021,0.286,84.465,725,695,610,695
CANT40,KEMS40,28.17,0,OHL,0.045,0.503,17.97,1930,1830,1670,1830
CANT40,SELL40,26.653,0.257,COMPOSITE,0.042,0.529,25.516,3100,3050,2960,3050
CAPE21,CAPE4B,0,0,TRANSFORMER,0.019,1.597,3.44,750,750,750,750
CAPE22,CAPE4A,0,0,TRANSFORMER,0.02,1.604,8.07,750,750,750,750
CAPE4A,DEES42,11.535,0,OHL,0.01,0.189,7.98,3320,3320,3130,3320
CAPE4A,FROD40,18.735,0,OHL,0.02,0.312,12.668,2780,2570,2220,2570
CAPE4B,DEES41,11.535,0,OHL,0.01,0.189,7.98,3320,3320,3130,3320
CAPE4B,FROD40,18.489,0,OHL,0.02,0.307,12.53,2780,2570,2220,2570
CARE20,COWB2A,28.328,0,OHL,0.153,1.425,6.493,680,630,540,630
