"Node 1","Node 2","OHL Length (km)","Cable Length (km)","Circuit Type","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Winter Rating (MVA)","Autumn Rating (MVA)","Summer Rating (MVA)","Spring Rating (MVA)"
BRIM2D,TOTW21,7.45,0.384,COMPOSITE,0.0341778,0.3139286,6.242945,1090,1030,920,1030
BRIM2D,WALX22,5.967,0,OHL,0.0268515,0.2428569,1.6570359,1090,1030,920,1030
BRIN21,CHTE20,22.322,0.22,COMPOSITE,0.05104756,0.7876418,9.49986,935,755,755,935
BRIN21,JORD20,13.229,1.489,COMPOSITE,0.0636792,0.5691428,16.1203833,557,557,557,557
BRIN21,NORL2A,13.229,2.845,COMPOSITE,0.0697083,0.5858663,24.8973933,420,380,380,380
BRIN21,TEMP21,2.904,0,OHL,0.01308876,0.1190232,0.8005242,955,885,760,885
BRIN21,TEMP22,2.904,0,OHL,0.01308876,0.1190232,0.8005242,955,885,760,885
BRIN22,BRIN40,0,0,TRANSFORMER,0.014,1.677,-0.6142,1000,1000,1000,1000
BRIN22,CHTE20,22.225,0,OHL,0.05043234,0.7806071,7.1147909,1200,1120,1020,1120
BRIN22,THUR20,5.7,0,OHL,0.05985,0.228,1.60398,625,590,535,590
BRIN22,TINP2A,3.187,0,OHL,0.0143415,0.1297109,0.8850299,685,685,685,685
BRIN22,TINP2B,3.187,0,OHL,0.0143415,0.1297109,0.8850299,685,685,685,685
BRIN2M,BRIN40,0,0,TRANSFORMER,0.0146,1.6099,1.41,1000,1000,1000,1000
BRIN40,FENW4A,44.606,0,OHL,0.05294842,0.7576916,29.6658542,2010,1910,1750,1910
BRIN40,THOM40,37.166,0,OHL,0.04000282,0.6193076,25.1103422,2520,2400,2190,2400
BRLE40,DIDC42,41.648,2.85,COMPOSITE,0.04556086,0.7070318,142.2248496,2200,1960,1960,2200
BRLE40,DIDC42,41.658,2.85,COMPOSITE,0.04557156,0.7071978,142.2316266,2200,1960,1960,2200
BRLE40,FLEE40,17.59,0,OHL,0.0188213,0.291994,11.920743,2780,2570,2220,2570
BRLE40,FLEE40,17.59,0,OHL,0.0188213,0.291994,11.920743,2780,2570,2220,2570
BRLE40,MELK40,81.82,0,OHL,0.171822,1.570944,48.11016,1390,1280,1110,1280
BRLE40,MELK40,81.82,0,OHL,0.171822,1.570944,48.11016,1390,1280,1110,1280
BRLE40,WWEY4A,49.633,0,OHL,0.1042293,0.9529536,29.184204,1390,1280,1110,1280
BRLE40,WWEY4B,49.633,0,OHL,0.1042293,0.9529536,29.184204,1390,1280,1110,1280
BRWA2A,HINP22,18.273,0.61,COMPOSITE,0.0832655,0.7607301,11.7051121,240,240,240,240
BRWA2B,HINP21,18.273,0.68,COMPOSITE,0.0833845,0.7626831,12.4660121,240,240,240,240
BURW40,PELH40,42.717,0,OHL,0.03716379,0.7005588,29.5516206,2780,2570,2220,2570
BURW40,PELH40,42.504,0,OHL,0.03697848,0.6970656,29.4042672,3030,2910,2240,2510
BURW40,WALP40,51.146,0,OHL,0.04449702,0.8387944,35.3828028,2780,2570,2220,2570
